DELIVERY_UUID,DELIV_CREATED_AT_EDT,DELIV_STORE_NAME,DELIV_SUBMARKET,DELIV_DASHER_ID,DELIV_D2R,DELIV_IS_20_MIN_LATE,DELIV_CLAT,WAS_CANCELLED,DELIV_MISSING_INCORRECT_REPORT_BINARY,n_items_requested,n_missing,n_subbed,n_found,order_value,avg_item_price,n_categories,has_alcohol,has_perishable,missing_rate,sub_rate,unfulfilled_rate,plain_missing_rate,hour,dow,is_weekend,daypart,STORE_GRP,dasher_assigned,cluster_id
c5b2aaef-77a0-4d50-8cfa-6b1f417205b5,2022-10-09 14:54:42.912,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,17.07,5.69,2,0,1,0.0,0.0,0.0,0.0,14,Sunday,True,Midday(11-14),DashMart1,0,unassigned_c5b2aaef-77a0-4d50-8cfa-6b1f417205b5
143d63f9-7f84-4913-839e-bb2f4febd3a8,2022-10-09 13:06:19.584,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,9.58,4.79,2,0,1,0.0,0.0,0.0,0.0,13,Sunday,True,Midday(11-14),DashMart1,0,unassigned_143d63f9-7f84-4913-839e-bb2f4febd3a8
e65d2f82-d981-4658-8b2f-bd9085d7bc46,2022-10-09 00:45:06.048,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,7.7700000000000005,2.5900000000000003,2,0,0,0.0,0.0,0.0,0.0,0,Sunday,True,Overnight(0-5),DashMart1,0,unassigned_e65d2f82-d981-4658-8b2f-bd9085d7bc46
fd9d14bc-4611-4696-9eb6-7b4a19d09df7,2022-10-08 23:25:59.232,DashMart1,Cincinnati,,,0,,1,0,3,0,0,0,13.67,4.556666666666667,2,0,0,0.0,0.0,0.0,0.0,23,Saturday,True,Night(22-23),DashMart1,0,unassigned_fd9d14bc-4611-4696-9eb6-7b4a19d09df7
31f4266e-ffac-4d68-9580-41c8b0409308,2022-10-08 22:39:11.232,Grocery1,Cincinnati,,,0,,1,0,2,2,0,0,9.1,4.55,2,0,0,1.0,0.0,1.0,1.0,22,Saturday,True,Night(22-23),Grocery1,0,unassigned_31f4266e-ffac-4d68-9580-41c8b0409308
c2fc4b8f-db43-4ceb-81bc-1f5c9395d380,2022-10-08 21:47:42.432,Grocery1,Cincinnati,,,0,,1,0,1,0,0,0,2.95,2.95,1,0,0,0.0,0.0,0.0,0.0,21,Saturday,True,Evening(18-21),Grocery1,0,unassigned_c2fc4b8f-db43-4ceb-81bc-1f5c9395d380
8aabcba7-7cbb-4241-814c-03afa54c4aff,2022-10-08 13:42:09.216,Grocery1,Cincinnati,,,0,,1,0,2,2,0,0,14.1,7.05,2,0,1,1.0,0.0,1.0,1.0,13,Saturday,True,Midday(11-14),Grocery1,0,unassigned_8aabcba7-7cbb-4241-814c-03afa54c4aff
8f16647c-8a97-4ea8-8fb4-cb708075cae1,2022-10-08 11:09:16.992,Grocery1,Cincinnati,,,0,,1,0,10,1,0,9,39.85,3.9850000000000003,5,0,1,0.1,0.0,0.1,0.1,11,Saturday,True,Midday(11-14),Grocery1,0,unassigned_8f16647c-8a97-4ea8-8fb4-cb708075cae1
70103047-4fc6-4645-b7bd-5fca2df33a63,2022-10-08 12:14:09.312,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,16.7,16.7,1,0,0,1.0,0.0,1.0,1.0,12,Saturday,True,Midday(11-14),Grocery1,0,unassigned_70103047-4fc6-4645-b7bd-5fca2df33a63
0eeda202-b764-420a-84cc-755d7c9cb5a5,2022-10-08 10:07:07.104,Grocery2,Cincinnati,,,0,,1,0,3,3,0,0,23.0,7.666666666666667,3,0,0,1.0,0.0,1.0,1.0,10,Saturday,True,Morning(6-10),Grocery2/3,0,unassigned_0eeda202-b764-420a-84cc-755d7c9cb5a5
39587498-3a2d-46e2-a382-4121b6315f5b,2022-10-08 01:28:57.792,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,12.27,4.09,3,0,1,0.0,0.0,0.0,0.0,1,Saturday,True,Overnight(0-5),DashMart1,0,unassigned_39587498-3a2d-46e2-a382-4121b6315f5b
44d056ee-b37e-4546-8877-9f9e5d65927e,2022-10-07 22:11:35.808,Grocery1,Cincinnati,,,0,,1,0,3,2,0,0,19.299999999999997,6.433333333333333,2,0,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,22,Friday,False,Night(22-23),Grocery1,0,unassigned_44d056ee-b37e-4546-8877-9f9e5d65927e
aa99a4a2-8640-42db-b0a2-fa772b615a38,2022-10-07 20:23:41.856,Grocery2,Cincinnati,,,0,,1,0,9,0,0,0,37.55,4.172222222222222,3,0,1,0.0,0.0,0.0,0.0,20,Friday,False,Evening(18-21),Grocery2/3,0,unassigned_aa99a4a2-8640-42db-b0a2-fa772b615a38
69010a2a-d1e9-4ed6-bbba-c7b271136406,2022-10-07 20:31:47.424,Grocery1,Cincinnati,,,0,,1,0,7,0,0,0,25.0,3.5714285714285716,5,0,1,0.0,0.0,0.0,0.0,20,Friday,False,Evening(18-21),Grocery1,0,unassigned_69010a2a-d1e9-4ed6-bbba-c7b271136406
63d06203-a544-42b1-ae1e-08c5d16fda75,2022-10-07 16:05:56.256,DashMart1,Cincinnati,,,0,,1,0,8,0,0,0,37.32,4.665,6,0,1,0.0,0.0,0.0,0.0,16,Friday,False,Afternoon(15-17),DashMart1,0,unassigned_63d06203-a544-42b1-ae1e-08c5d16fda75
5f3524ec-640e-453b-b7db-bea800dd6601,2022-10-07 15:22:52.032,Grocery2,Cincinnati,,,0,,1,0,1,1,0,0,3.7,3.7,1,0,0,1.0,0.0,1.0,1.0,15,Friday,False,Afternoon(15-17),Grocery2/3,0,unassigned_5f3524ec-640e-453b-b7db-bea800dd6601
118e9286-7317-4177-8210-7d867c203e37,2022-10-06 10:44:12.768,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,8.07,2.69,2,0,0,0.0,0.0,0.0,0.0,10,Thursday,False,Morning(6-10),DashMart1,0,unassigned_118e9286-7317-4177-8210-7d867c203e37
ed6974dc-4c24-4db4-a890-3c21d232d60b,2022-10-06 01:32:02.688,DashMart1,Cincinnati,,,0,,1,0,3,0,0,3,13.670000000000002,4.5566666666666675,3,0,0,0.0,0.0,0.0,0.0,1,Thursday,False,Overnight(0-5),DashMart1,0,unassigned_ed6974dc-4c24-4db4-a890-3c21d232d60b
41851ab4-dd33-4313-94b5-6afcbb7e90e6,2022-10-06 01:22:03.936,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,6.48,3.24,2,0,1,0.0,0.0,0.0,0.0,1,Thursday,False,Overnight(0-5),DashMart1,0,unassigned_41851ab4-dd33-4313-94b5-6afcbb7e90e6
e2afd107-88ed-4b4c-b494-9faa2afc842b,2022-10-05 20:43:18.624,Grocery1,Cincinnati,,,0,,1,0,1,0,0,0,13.99,13.99,1,1,0,0.0,0.0,0.0,0.0,20,Wednesday,False,Evening(18-21),Grocery1,0,unassigned_e2afd107-88ed-4b4c-b494-9faa2afc842b
f781c0ac-d99d-4bdf-b94a-3bc450e9f94e,2022-10-05 19:54:09.792,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,4.6,4.6,1,0,0,1.0,0.0,1.0,1.0,19,Wednesday,False,Evening(18-21),Grocery1,0,unassigned_f781c0ac-d99d-4bdf-b94a-3bc450e9f94e
165d500a-9379-4a21-84d2-8db900205c5e,2022-10-05 19:24:18.720,DashMart1,Cincinnati,,,0,,1,0,3,0,0,2,8.67,2.89,2,0,0,0.0,0.0,0.0,0.0,19,Wednesday,False,Evening(18-21),DashMart1,0,unassigned_165d500a-9379-4a21-84d2-8db900205c5e
60f7ba4b-84ce-4435-be2f-735cc7bd076f,2022-10-05 18:01:20.352,DashMart1,Cincinnati,,,0,,1,0,1,0,0,1,2.99,2.99,1,0,0,0.0,0.0,0.0,0.0,18,Wednesday,False,Evening(18-21),DashMart1,0,unassigned_60f7ba4b-84ce-4435-be2f-735cc7bd076f
0311ffd2-477e-451a-8ec2-e576274f0bde,2022-10-05 13:07:02.784,Grocery2,Cincinnati,,,0,,1,0,1,1,0,0,5.75,5.75,1,0,0,1.0,0.0,1.0,1.0,13,Wednesday,False,Midday(11-14),Grocery2/3,0,unassigned_0311ffd2-477e-451a-8ec2-e576274f0bde
1e2c1219-621d-4cae-ab3d-b27209704072,2022-10-05 00:19:36.768,DashMart1,Cincinnati,,,0,,1,0,3,0,0,0,27.77,9.256666666666666,3,0,1,0.0,0.0,0.0,0.0,0,Wednesday,False,Overnight(0-5),DashMart1,0,unassigned_1e2c1219-621d-4cae-ab3d-b27209704072
b4924fe0-53ee-43aa-b7ab-c715de60ce32,2022-10-04 16:50:38.976,Grocery3,Cincinnati,,,0,,1,0,1,1,0,0,3.7,3.7,1,0,1,1.0,0.0,1.0,1.0,16,Tuesday,False,Afternoon(15-17),Grocery2/3,0,unassigned_b4924fe0-53ee-43aa-b7ab-c715de60ce32
1e3c27ed-494f-4129-a0f9-bcd9b6aa7c77,2022-10-04 16:35:51.648,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,13.8,13.8,1,0,1,0.0,0.0,0.0,0.0,16,Tuesday,False,Afternoon(15-17),Grocery2/3,0,unassigned_1e3c27ed-494f-4129-a0f9-bcd9b6aa7c77
20b4fc1d-e959-4428-902c-63a776880846,2022-10-04 00:30:41.184,DashMart1,Cincinnati,,,0,,1,0,1,0,0,1,7.69,7.69,1,0,0,0.0,0.0,0.0,0.0,0,Tuesday,False,Overnight(0-5),DashMart1,0,unassigned_20b4fc1d-e959-4428-902c-63a776880846
ae37ece9-d6db-42f7-9633-75a314298a8c,2022-10-03 22:21:50.976,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,17.58,8.79,2,0,0,0.0,0.0,0.0,0.0,22,Monday,False,Night(22-23),DashMart1,0,unassigned_ae37ece9-d6db-42f7-9633-75a314298a8c
aa682a94-4d36-4279-aaa3-4b93878d0ca6,2022-10-03 22:02:30.624,DashMart1,Cincinnati,,,0,,1,0,1,0,0,1,7.99,7.99,1,0,0,0.0,0.0,0.0,0.0,22,Monday,False,Night(22-23),DashMart1,0,unassigned_aa682a94-4d36-4279-aaa3-4b93878d0ca6
